,subject1_a,subject1,subject1_b,subject2_a,subject2,subject2_b,object,rule,conf_pca
r2770,e,<dbo:aircraftFighter>,b,e,<dbo:militaryBranch>,a,<dbo:aircraftFighter>,"<dbo:aircraftFighter>(a, b) <= <dbo:aircraftFighter>(e, b) & <dbo:militaryBranch>(e, a)",0.142857143
r2771,a,<dbo:parentCompany>,f,b,<dbo:subsidiary>,f,<dbo:parentCompany>,"<dbo:parentCompany>(a, b) <= <dbo:parentCompany>(a, f) & <dbo:subsidiary>(b, f)",0.143139191
r2772,a,<dbo:governor>,f,f,<dbo:successor>,b,<dbo:governor>,"<dbo:governor>(a, b) <= <dbo:governor>(a, f) & <dbo:successor>(f, b)",0.143145743
r2773,b,<dbo:president>,a,,,,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:president>(b, a)",0.143369176
r2774,e,<dbo:primeMinister>,b,a,<dbo:secondLeader>,e,<dbo:firstLeader>,"<dbo:firstLeader>(a, b) <= <dbo:primeMinister>(e, b) & <dbo:secondLeader>(a, e)",0.144204852
r2775,e,<dbo:affiliation>,a,e,<dbo:secondLeader>,b,<dbo:leader>,"<dbo:leader>(a, b) <= <dbo:affiliation>(e, a) & <dbo:secondLeader>(e, b)",0.144607843
r2776,a,<dbo:mouthPlace>,f,f,<dbo:state>,b,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:mouthPlace>(a, f) & <dbo:state>(f, b)",0.14516129
r2777,a,<dbo:mouthMountain>,f,f,<dbo:state>,b,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:mouthMountain>(a, f) & <dbo:state>(f, b)",0.14516129
r2778,a,<dbo:computingPlatform>,f,f,<dbo:license>,b,<dbo:license>,"<dbo:license>(a, b) <= <dbo:computingPlatform>(a, f) & <dbo:license>(f, b)",0.145421903
r2779,e,<dbo:highestRegion>,b,e,<dbo:highestState>,a,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:highestRegion>(e, b) & <dbo:highestState>(e, a)",0.145454545
r2780,a,<dbo:deathPlace>,b,,,,<dbo:stateOfOrigin>,"<dbo:stateOfOrigin>(a, b) <= <dbo:deathPlace>(a, b)",0.14557872
r2781,a,<dbo:type>,b,,,,<dbo:governmentType>,"<dbo:governmentType>(a, b) <= <dbo:type>(a, b)",0.145777608
r2782,a,<dbo:developer>,f,b,<dbo:keyPerson>,f,<dbo:gameArtist>,"<dbo:gameArtist>(a, b) <= <dbo:developer>(a, f) & <dbo:keyPerson>(b, f)",0.145833333
r2783,f,<dbo:coach>,b,a,<dbo:formerPartner>,f,<dbo:choreographer>,"<dbo:choreographer>(a, b) <= <dbo:coach>(f, b) & <dbo:formerPartner>(a, f)",0.145833333
r2784,a,<dbo:country>,b,,,,<dbo:twinCountry>,"<dbo:twinCountry>(a, b) <= <dbo:country>(a, b)",0.146067416
r2785,a,<dbo:owningCompany>,b,,,,<dbo:broadcastNetwork>,"<dbo:broadcastNetwork>(a, b) <= <dbo:owningCompany>(a, b)",0.146224531
r2786,a,<dbo:affiliation>,e,e,<dbo:leader>,b,<dbo:firstLeader>,"<dbo:firstLeader>(a, b) <= <dbo:affiliation>(a, e) & <dbo:leader>(e, b)",0.146239554
r2787,b,<dbo:location>,a,,,,<dbo:lowestState>,"<dbo:lowestState>(a, b) <= <dbo:location>(b, a)",0.147058824
r2788,e,<dbo:birthPlace>,b,e,<dbo:spouse>,a,<dbo:placeOfBurial>,"<dbo:placeOfBurial>(a, b) <= <dbo:birthPlace>(e, b) & <dbo:spouse>(e, a)",0.147058824
r2789,b,<dbo:leader>,a,,,,<dbo:otherParty>,"<dbo:otherParty>(a, b) <= <dbo:leader>(b, a)",0.147435897
r2790,a,<dbo:booster>,f,f,<dbo:countryOrigin>,b,<dbo:launchPad>,"<dbo:launchPad>(a, b) <= <dbo:booster>(a, f) & <dbo:countryOrigin>(f, b)",0.147540984
r2791,a,<dbo:developer>,e,e,<dbo:keyPerson>,b,<dbo:designer>,"<dbo:designer>(a, b) <= <dbo:developer>(a, e) & <dbo:keyPerson>(e, b)",0.147661755
r2792,e,<dbo:primeMinister>,a,e,<dbo:primeMinister>,b,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:primeMinister>(e, a) & <dbo:primeMinister>(e, b)",0.147679325
r2793,b,<dbo:derivative>,f,f,<dbo:musicSubgenre>,a,<dbo:stylisticOrigin>,"<dbo:stylisticOrigin>(a, b) <= <dbo:derivative>(b, f) & <dbo:musicSubgenre>(f, a)",0.147727273
r2794,e,<dbo:birthPlace>,a,e,<dbo:birthPlace>,b,<dbo:ceremonialCounty>,"<dbo:ceremonialCounty>(a, b) <= <dbo:birthPlace>(e, a) & <dbo:birthPlace>(e, b)",0.147760326
r2795,b,<dbo:executiveProducer>,a,,,,<dbo:notableWork>,"<dbo:notableWork>(a, b) <= <dbo:executiveProducer>(b, a)",0.147798742
r2796,e,<dbo:coach>,b,e,<dbo:formerPartner>,a,<dbo:choreographer>,"<dbo:choreographer>(a, b) <= <dbo:coach>(e, b) & <dbo:formerPartner>(e, a)",0.148148148
r2797,f,<dbo:region>,b,a,<dbo:riverMouth>,f,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:region>(f, b) & <dbo:riverMouth>(a, f)",0.148148148
r2798,e,<dbo:location>,a,e,<dbo:location>,b,<dbo:island>,"<dbo:island>(a, b) <= <dbo:location>(e, a) & <dbo:location>(e, b)",0.14893617
r2799,b,<dbo:stylisticOrigin>,a,,,,<dbo:musicSubgenre>,"<dbo:musicSubgenre>(a, b) <= <dbo:stylisticOrigin>(b, a)",0.148965517
r2800,a,<dbo:firstAppearance>,e,e,<dbo:guest>,b,<dbo:portrayer>,"<dbo:portrayer>(a, b) <= <dbo:firstAppearance>(a, e) & <dbo:guest>(e, b)",0.149102264
r2801,b,<dbo:influenced>,a,,,,<dbo:academicAdvisor>,"<dbo:academicAdvisor>(a, b) <= <dbo:influenced>(b, a)",0.149253731
r2802,a,<dbo:birthPlace>,e,e,<dbo:country>,b,<dbo:billed>,"<dbo:billed>(a, b) <= <dbo:birthPlace>(a, e) & <dbo:country>(e, b)",0.149425287
r2803,a,<dbo:aircraftElectronic>,b,,,,<dbo:aircraftRecon>,"<dbo:aircraftRecon>(a, b) <= <dbo:aircraftElectronic>(a, b)",0.15
r2804,b,<dbo:highestRegion>,a,,,,<dbo:lowestState>,"<dbo:lowestState>(a, b) <= <dbo:highestRegion>(b, a)",0.15
r2805,e,<dbo:landingVehicle>,b,e,<dbo:launchVehicle>,a,<dbo:previousMission>,"<dbo:previousMission>(a, b) <= <dbo:landingVehicle>(e, b) & <dbo:launchVehicle>(e, a)",0.15
r2806,e,<dbo:landingVehicle>,a,e,<dbo:launchVehicle>,b,<dbo:nextMission>,"<dbo:nextMission>(a, b) <= <dbo:landingVehicle>(e, a) & <dbo:launchVehicle>(e, b)",0.15
r2807,a,<dbo:automobilePlatform>,e,e,<dbo:vehicle>,b,<dbo:variantOf>,"<dbo:variantOf>(a, b) <= <dbo:automobilePlatform>(a, e) & <dbo:vehicle>(e, b)",0.15034965
r2808,a,<dbo:formerTeam>,b,,,,<dbo:draftTeam>,"<dbo:draftTeam>(a, b) <= <dbo:formerTeam>(a, b)",0.150635743
r2809,a,<dbo:district>,f,b,<dbo:highestState>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:district>(a, f) & <dbo:highestState>(b, f)",0.150793651
r2810,a,<dbo:foundationPlace>,b,,,,<dbo:regionServed>,"<dbo:regionServed>(a, b) <= <dbo:foundationPlace>(a, b)",0.1514377
r2811,b,<dbo:primeMinister>,a,,,,<dbo:governorGeneral>,"<dbo:governorGeneral>(a, b) <= <dbo:primeMinister>(b, a)",0.151515152
r2812,e,<dbo:location>,b,a,<dbo:municipality>,e,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:location>(e, b) & <dbo:municipality>(a, e)",0.151515152
r2813,a,<dbo:lastAppearance>,b,,,,<dbo:firstAppearance>,"<dbo:firstAppearance>(a, b) <= <dbo:lastAppearance>(a, b)",0.151629073
r2814,a,<dbo:formerTeam>,e,e,<dbo:owner>,b,<dbo:debutTeam>,"<dbo:debutTeam>(a, b) <= <dbo:formerTeam>(a, e) & <dbo:owner>(e, b)",0.151769646
r2815,a,<dbo:locatedInArea>,f,b,<dbo:mouthMountain>,f,<dbo:crosses>,"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:mouthMountain>(b, f)",0.151927438
r2816,a,<dbo:locatedInArea>,f,b,<dbo:mouthPlace>,f,<dbo:crosses>,"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:mouthPlace>(b, f)",0.151927438
r2817,f,<dbo:leader>,b,a,<dbo:parentOrganisation>,f,<dbo:leader>,"<dbo:leader>(a, b) <= <dbo:leader>(f, b) & <dbo:parentOrganisation>(a, f)",0.152694611
r2818,a,<dbo:industry>,b,,,,<dbo:service>,"<dbo:service>(a, b) <= <dbo:industry>(a, b)",0.152819891
r2819,e,<dbo:firstLeader>,a,e,<dbo:secondLeader>,b,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:firstLeader>(e, a) & <dbo:secondLeader>(e, b)",0.152941176
r2820,a,<dbo:author>,b,,,,<dbo:presenter>,"<dbo:presenter>(a, b) <= <dbo:author>(a, b)",0.153081511
r2821,a,<dbo:aircraftRecon>,b,,,,<dbo:aircraftAttack>,"<dbo:aircraftAttack>(a, b) <= <dbo:aircraftRecon>(a, b)",0.153284672
r2822,a,<dbo:firstAppearance>,b,,,,<dbo:lastAppearance>,"<dbo:lastAppearance>(a, b) <= <dbo:firstAppearance>(a, b)",0.153553299
r2823,b,<dbo:musicSubgenre>,f,a,<dbo:stylisticOrigin>,f,<dbo:stylisticOrigin>,"<dbo:stylisticOrigin>(a, b) <= <dbo:musicSubgenre>(b, f) & <dbo:stylisticOrigin>(a, f)",0.153679654
r2824,b,<dbo:jointCommunity>,a,,,,<dbo:jointCommunity>,"<dbo:jointCommunity>(a, b) <= <dbo:jointCommunity>(b, a)",0.153846154
r2825,f,<dbo:europeanAffiliation>,b,a,<dbo:mergedIntoParty>,f,<dbo:europeanParliamentGroup>,"<dbo:europeanParliamentGroup>(a, b) <= <dbo:europeanAffiliation>(f, b) & <dbo:mergedIntoParty>(a, f)",0.153846154
r2826,e,<dbo:source>,a,e,<dbo:sourcePlace>,b,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:source>(e, a) & <dbo:sourcePlace>(e, b)",0.153846154
r2827,a,<dbo:riverMouth>,f,f,<dbo:sourceRegion>,b,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:riverMouth>(a, f) & <dbo:sourceRegion>(f, b)",0.153846154
r2828,e,<dbo:source>,a,e,<dbo:sourceMountain>,b,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:source>(e, a) & <dbo:sourceMountain>(e, b)",0.153846154
r2829,a,<dbo:city>,f,f,<dbo:highestState>,b,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:city>(a, f) & <dbo:highestState>(f, b)",0.153846154
r2830,e,<dbo:deathPlace>,b,e,<dbo:successor>,a,<dbo:placeOfBurial>,"<dbo:placeOfBurial>(a, b) <= <dbo:deathPlace>(e, b) & <dbo:successor>(e, a)",0.153846154
r2831,a,<dbo:leftTributary>,f,f,<dbo:state>,b,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:leftTributary>(a, f) & <dbo:state>(f, b)",0.153846154
r2832,a,<dbo:city>,b,,,,<dbo:localAuthority>,"<dbo:localAuthority>(a, b) <= <dbo:city>(a, b)",0.153964588
r2833,a,<dbo:lastAppearance>,f,f,<dbo:starring>,b,<dbo:portrayer>,"<dbo:portrayer>(a, b) <= <dbo:lastAppearance>(a, f) & <dbo:starring>(f, b)",0.154192967
r2834,e,<dbo:series>,a,e,<dbo:voice>,b,<dbo:voice>,"<dbo:voice>(a, b) <= <dbo:series>(e, a) & <dbo:voice>(e, b)",0.154347826
r2835,e,<dbo:birthPlace>,b,e,<dbo:successor>,a,<dbo:placeOfBurial>,"<dbo:placeOfBurial>(a, b) <= <dbo:birthPlace>(e, b) & <dbo:successor>(e, a)",0.155172414
r2836,f,<dbo:birthPlace>,b,a,<dbo:successor>,f,<dbo:placeOfBurial>,"<dbo:placeOfBurial>(a, b) <= <dbo:birthPlace>(f, b) & <dbo:successor>(a, f)",0.155688623
r2837,b,<dbo:locatedInArea>,a,,,,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:locatedInArea>(b, a)",0.15625
r2838,a,<dbo:county>,b,,,,<dbo:authority>,"<dbo:authority>(a, b) <= <dbo:county>(a, b)",0.15625
r2839,a,<dbo:highestPlace>,f,b,<dbo:highestPlace>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:highestPlace>(a, f) & <dbo:highestPlace>(b, f)",0.15625
r2840,f,<dbo:firstAscentPerson>,b,a,<dbo:parentMountainPeak>,f,<dbo:firstAscentPerson>,"<dbo:firstAscentPerson>(a, b) <= <dbo:firstAscentPerson>(f, b) & <dbo:parentMountainPeak>(a, f)",0.156626506
r2841,a,<dbo:city>,f,b,<dbo:mouthMountain>,f,<dbo:rightTributary>,"<dbo:rightTributary>(a, b) <= <dbo:city>(a, f) & <dbo:mouthMountain>(b, f)",0.156714538
r2842,a,<dbo:city>,f,b,<dbo:mouthPlace>,f,<dbo:rightTributary>,"<dbo:rightTributary>(a, b) <= <dbo:city>(a, f) & <dbo:mouthPlace>(b, f)",0.156714538
r2843,a,<dbo:creator>,b,,,,<dbo:presenter>,"<dbo:presenter>(a, b) <= <dbo:creator>(a, b)",0.156760773
r2844,f,<dbo:musicSubgenre>,a,b,<dbo:musicSubgenre>,f,<dbo:stylisticOrigin>,"<dbo:stylisticOrigin>(a, b) <= <dbo:musicSubgenre>(f, a) & <dbo:musicSubgenre>(b, f)",0.157068063
r2845,a,<dbo:aircraftTrainer>,b,,,,<dbo:aircraftRecon>,"<dbo:aircraftRecon>(a, b) <= <dbo:aircraftTrainer>(a, b)",0.157894737
r2846,a,<dbo:highestMountain>,b,,,,<dbo:lowestPlace>,"<dbo:lowestPlace>(a, b) <= <dbo:highestMountain>(a, b)",0.157894737
r2847,a,<dbo:biome>,b,,,,<dbo:plant>,"<dbo:plant>(a, b) <= <dbo:biome>(a, b)",0.157894737
r2848,a,<dbo:highestMountain>,b,,,,<dbo:lowestMountain>,"<dbo:lowestMountain>(a, b) <= <dbo:highestMountain>(a, b)",0.157894737
r2849,f,<dbo:comparable>,b,a,<dbo:maidenFlightRocket>,f,<dbo:maidenFlightRocket>,"<dbo:maidenFlightRocket>(a, b) <= <dbo:comparable>(f, b) & <dbo:maidenFlightRocket>(a, f)",0.157894737
r2850,e,<dbo:endingTheme>,a,e,<dbo:openingTheme>,b,<dbo:associatedAct>,"<dbo:associatedAct>(a, b) <= <dbo:endingTheme>(e, a) & <dbo:openingTheme>(e, b)",0.157894737
r2851,e,<dbo:deputy>,a,e,<dbo:deputy>,b,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:deputy>(e, a) & <dbo:deputy>(e, b)",0.159340659
r2852,e,<dbo:governmentRegion>,b,a,<dbo:state>,e,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:governmentRegion>(e, b) & <dbo:state>(a, e)",0.159340659
r2853,a,<dbo:district>,f,b,<dbo:sourceRegion>,f,<dbo:river>,"<dbo:river>(a, b) <= <dbo:district>(a, f) & <dbo:sourceRegion>(b, f)",0.16
r2854,a,<dbo:derivative>,e,e,<dbo:musicFusionGenre>,b,<dbo:derivative>,"<dbo:derivative>(a, b) <= <dbo:derivative>(a, e) & <dbo:musicFusionGenre>(e, b)",0.16
r2855,a,<dbo:influenced>,f,f,<dbo:philosophicalSchool>,b,<dbo:philosophicalSchool>,"<dbo:philosophicalSchool>(a, b) <= <dbo:influenced>(a, f) & <dbo:philosophicalSchool>(f, b)",0.16017316
r2856,f,<dbo:ceremonialCounty>,b,a,<dbo:city>,f,<dbo:localAuthority>,"<dbo:localAuthority>(a, b) <= <dbo:ceremonialCounty>(f, b) & <dbo:city>(a, f)",0.160220994
r2857,e,<dbo:broadcastNetwork>,a,e,<dbo:owningCompany>,b,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:broadcastNetwork>(e, a) & <dbo:owningCompany>(e, b)",0.160434258
r2858,a,<dbo:foundedBy>,f,b,<dbo:foundedBy>,f,<dbo:subsidiary>,"<dbo:subsidiary>(a, b) <= <dbo:foundedBy>(a, f) & <dbo:foundedBy>(b, f)",0.160606061
r2859,a,<dbo:formerCoach>,f,b,<dbo:formerPartner>,f,<dbo:formerCoach>,"<dbo:formerCoach>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerPartner>(b, f)",0.160655738
r2860,a,<dbo:coach>,f,b,<dbo:currentPartner>,f,<dbo:choreographer>,"<dbo:choreographer>(a, b) <= <dbo:coach>(a, f) & <dbo:currentPartner>(b, f)",0.16091954
r2861,e,<dbo:district>,b,e,<dbo:riverMouth>,a,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:district>(e, b) & <dbo:riverMouth>(e, a)",0.16091954
r2862,a,<dbo:birthPlace>,b,,,,<dbo:nationality>,"<dbo:nationality>(a, b) <= <dbo:birthPlace>(a, b)",0.161105502
r2863,e,<dbo:governmentRegion>,b,a,<dbo:region>,e,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:governmentRegion>(e, b) & <dbo:region>(a, e)",0.161111111
r2864,a,<dbo:lowestState>,f,b,<dbo:lowestState>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:lowestState>(a, f) & <dbo:lowestState>(b, f)",0.161290323
r2865,a,<dbo:nominee>,f,b,<dbo:region>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:nominee>(a, f) & <dbo:region>(b, f)",0.161616162
r2866,a,<dbo:billed>,f,f,<dbo:country>,b,<dbo:billed>,"<dbo:billed>(a, b) <= <dbo:billed>(a, f) & <dbo:country>(f, b)",0.16293279
r2867,a,<dbo:coach>,f,b,<dbo:formerPartner>,f,<dbo:coach>,"<dbo:coach>(a, b) <= <dbo:coach>(a, f) & <dbo:formerPartner>(b, f)",0.162962963
r2868,a,<dbo:governor>,f,b,<dbo:successor>,f,<dbo:governor>,"<dbo:governor>(a, b) <= <dbo:governor>(a, f) & <dbo:successor>(b, f)",0.163372859
r2869,b,<dbo:location>,a,,,,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:location>(b, a)",0.163461538
r2870,a,<dbo:majorShrine>,b,,,,<dbo:beatifiedPlace>,"<dbo:beatifiedPlace>(a, b) <= <dbo:majorShrine>(a, b)",0.163522013
r2871,e,<dbo:coach>,a,e,<dbo:coach>,b,<dbo:currentPartner>,"<dbo:currentPartner>(a, b) <= <dbo:coach>(e, a) & <dbo:coach>(e, b)",0.164179104
r2872,e,<dbo:musicFusionGenre>,a,e,<dbo:stylisticOrigin>,b,<dbo:stylisticOrigin>,"<dbo:stylisticOrigin>(a, b) <= <dbo:musicFusionGenre>(e, a) & <dbo:stylisticOrigin>(e, b)",0.164570231
r2873,a,<dbo:aircraftAttack>,b,,,,<dbo:aircraftTrainer>,"<dbo:aircraftTrainer>(a, b) <= <dbo:aircraftAttack>(a, b)",0.165217391
r2874,f,<dbo:countySeat>,b,a,<dbo:region>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:countySeat>(f, b) & <dbo:region>(a, f)",0.165413534
r2875,e,<dbo:riverMouth>,a,e,<dbo:source>,b,<dbo:source>,"<dbo:source>(a, b) <= <dbo:riverMouth>(e, a) & <dbo:source>(e, b)",0.166153846
r2876,a,<dbo:creator>,b,,,,<dbo:portrayer>,"<dbo:portrayer>(a, b) <= <dbo:creator>(a, b)",0.166666667
r2877,b,<dbo:governmentRegion>,a,,,,<dbo:lowestState>,"<dbo:lowestState>(a, b) <= <dbo:governmentRegion>(b, a)",0.166666667
r2878,a,<dbo:aircraftElectronic>,b,,,,<dbo:aircraftPatrol>,"<dbo:aircraftPatrol>(a, b) <= <dbo:aircraftElectronic>(a, b)",0.166666667
r2879,b,<dbo:municipality>,f,f,<dbo:part>,a,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:municipality>(b, f) & <dbo:part>(f, a)",0.166666667
r2880,a,<dbo:location>,f,f,<dbo:part>,b,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:location>(a, f) & <dbo:part>(f, b)",0.166666667
r2881,e,<dbo:location>,b,e,<dbo:municipality>,a,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:location>(e, b) & <dbo:municipality>(e, a)",0.166666667
r2882,a,<dbo:launchVehicle>,f,b,<dbo:launchVehicle>,f,<dbo:nextMission>,"<dbo:nextMission>(a, b) <= <dbo:launchVehicle>(a, f) & <dbo:launchVehicle>(b, f)",0.166666667
r2883,e,<dbo:leftTributary>,a,e,<dbo:sourceRegion>,b,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:leftTributary>(e, a) & <dbo:sourceRegion>(e, b)",0.166666667
r2884,f,<dbo:highestMountain>,b,a,<dbo:highestState>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:highestMountain>(f, b) & <dbo:highestState>(a, f)",0.166666667
r2885,e,<dbo:hasJunctionWith>,a,e,<dbo:startPoint>,b,<dbo:endPoint>,"<dbo:endPoint>(a, b) <= <dbo:hasJunctionWith>(e, a) & <dbo:startPoint>(e, b)",0.166666667
r2886,a,<dbo:knownFor>,f,b,<dbo:knownFor>,f,<dbo:opponent>,"<dbo:opponent>(a, b) <= <dbo:knownFor>(a, f) & <dbo:knownFor>(b, f)",0.166666667
r2887,f,<dbo:governmentPosition>,b,a,<dbo:lowestState>,f,<dbo:governmentPosition>,"<dbo:governmentPosition>(a, b) <= <dbo:governmentPosition>(f, b) & <dbo:lowestState>(a, f)",0.166666667
r2888,e,<dbo:governmentPosition>,b,e,<dbo:lowestState>,a,<dbo:governmentPosition>,"<dbo:governmentPosition>(a, b) <= <dbo:governmentPosition>(e, b) & <dbo:lowestState>(e, a)",0.166666667
r2889,e,<dbo:opponent>,a,e,<dbo:opponent>,b,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:opponent>(e, a) & <dbo:opponent>(e, b)",0.166666667
r2890,e,<dbo:relatedMeanOfTransportation>,a,b,<dbo:relatedMeanOfTransportation>,e,<dbo:relatedMeanOfTransportation>,"<dbo:relatedMeanOfTransportation>(a, b) <= <dbo:relatedMeanOfTransportation>(e, a) & <dbo:relatedMeanOfTransportation>(b, e)",0.167390749
r2891,e,<dbo:president>,a,e,<dbo:successor>,b,<dbo:vicePresident>,"<dbo:vicePresident>(a, b) <= <dbo:president>(e, a) & <dbo:successor>(e, b)",0.167410714
r2892,e,<dbo:leader>,b,a,<dbo:party>,e,<dbo:primeMinister>,"<dbo:primeMinister>(a, b) <= <dbo:leader>(e, b) & <dbo:party>(a, e)",0.16773934
r2893,a,<dbo:launchVehicle>,f,b,<dbo:launchVehicle>,f,<dbo:previousMission>,"<dbo:previousMission>(a, b) <= <dbo:launchVehicle>(a, f) & <dbo:launchVehicle>(b, f)",0.168067227
r2894,e,<dbo:deathPlace>,a,e,<dbo:deathPlace>,b,<dbo:ceremonialCounty>,"<dbo:ceremonialCounty>(a, b) <= <dbo:deathPlace>(e, a) & <dbo:deathPlace>(e, b)",0.168170103
r2895,a,<dbo:country>,b,,,,<dbo:location>,"<dbo:location>(a, b) <= <dbo:country>(a, b)",0.168385554
r2896,f,<dbo:aircraftFighter>,b,a,<dbo:militaryBranch>,f,<dbo:aircraftFighter>,"<dbo:aircraftFighter>(a, b) <= <dbo:aircraftFighter>(f, b) & <dbo:militaryBranch>(a, f)",0.168949772
r2897,e,<dbo:region>,b,e,<dbo:river>,a,<dbo:sourceRegion>,"<dbo:sourceRegion>(a, b) <= <dbo:region>(e, b) & <dbo:river>(e, a)",0.169014085
r2898,b,<dbo:subsidiary>,a,,,,<dbo:subsidiary>,"<dbo:subsidiary>(a, b) <= <dbo:subsidiary>(b, a)",0.170258621
r2899,a,<dbo:broadcastNetwork>,f,f,<dbo:owningCompany>,b,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:broadcastNetwork>(a, f) & <dbo:owningCompany>(f, b)",0.170481221
r2900,e,<dbo:location>,a,e,<dbo:location>,b,<dbo:federalState>,"<dbo:federalState>(a, b) <= <dbo:location>(e, a) & <dbo:location>(e, b)",0.170988087
r2901,f,<dbo:country>,b,a,<dbo:deathPlace>,f,<dbo:placeOfBurial>,"<dbo:placeOfBurial>(a, b) <= <dbo:country>(f, b) & <dbo:deathPlace>(a, f)",0.171232877
r2902,a,<dbo:sourceMountain>,b,,,,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:sourceMountain>(a, b)",0.171428571
r2903,a,<dbo:sourcePlace>,b,,,,<dbo:sourceConfluenceMountain>,"<dbo:sourceConfluenceMountain>(a, b) <= <dbo:sourcePlace>(a, b)",0.171428571
r2904,a,<dbo:sourcePlace>,b,,,,<dbo:sourceConfluencePlace>,"<dbo:sourceConfluencePlace>(a, b) <= <dbo:sourcePlace>(a, b)",0.171428571
r2905,a,<dbo:sourceMountain>,b,,,,<dbo:sourceConfluencePlace>,"<dbo:sourceConfluencePlace>(a, b) <= <dbo:sourceMountain>(a, b)",0.171428571
r2906,e,<dbo:primeMinister>,a,e,<dbo:successor>,b,<dbo:deputy>,"<dbo:deputy>(a, b) <= <dbo:primeMinister>(e, a) & <dbo:successor>(e, b)",0.171653543
r2907,a,<dbo:owningCompany>,b,,,,<dbo:foundedBy>,"<dbo:foundedBy>(a, b) <= <dbo:owningCompany>(a, b)",0.17167382
r2908,e,<dbo:highestState>,a,e,<dbo:location>,b,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:highestState>(e, a) & <dbo:location>(e, b)",0.172413793
r2909,f,<dbo:growingGrape>,b,a,<dbo:isPartOfWineRegion>,f,<dbo:growingGrape>,"<dbo:growingGrape>(a, b) <= <dbo:growingGrape>(f, b) & <dbo:isPartOfWineRegion>(a, f)",0.172734882
r2910,a,<dbo:fastestDriver>,b,,,,<dbo:secondDriver>,"<dbo:secondDriver>(a, b) <= <dbo:fastestDriver>(a, b)",0.172897196
r2911,e,<dbo:city>,a,e,<dbo:location>,b,<dbo:countySeat>,"<dbo:countySeat>(a, b) <= <dbo:city>(e, a) & <dbo:location>(e, b)",0.172897196
r2912,a,<dbo:highestPlace>,f,f,<dbo:locatedInArea>,b,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:highestPlace>(a, f) & <dbo:locatedInArea>(f, b)",0.173076923
r2913,a,<dbo:secondDriver>,b,,,,<dbo:fastestDriver>,"<dbo:fastestDriver>(a, b) <= <dbo:secondDriver>(a, b)",0.173545966
r2914,e,<dbo:otherParty>,a,e,<dbo:otherParty>,b,<dbo:splitFromParty>,"<dbo:splitFromParty>(a, b) <= <dbo:otherParty>(e, a) & <dbo:otherParty>(e, b)",0.173913043
r2915,e,<dbo:choreographer>,b,e,<dbo:formerPartner>,a,<dbo:coach>,"<dbo:coach>(a, b) <= <dbo:choreographer>(e, b) & <dbo:formerPartner>(e, a)",0.173913043
